                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"          3.0000000000000004E+001          2.0000000000000000E+001          3.1622776601683795E+000                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20230325" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.5096045125668331E+002          3.1622820953719479E+000          3.3401150738261620E+001          2.1375153756204548E+002          3.2062692917381253E+002          1.3843185151321773E+001          1.1503733941541265E+001         -4.6779988119214999E-001         -1.0000000000000000E+000          2.9999964709563258E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6414869716880833E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6414869716880833E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.9358297967029060E-214          2.9629159668396718E+054         -2.8768706041135167E+038          0.0000000000000000E+000         -1.8832925513167244E+036         -2.8580376786003495E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          5.2659836132771352E+002          3.1622924637861272E+000          3.3401205369818619E+001          2.1375153917269355E+002          3.2062604949840664E+002          1.3843199662454142E+001          1.1503760427824920E+001         -4.6294658743475814E-001         -1.0000000000000000E+000          2.9999882175292068E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6670100416009133E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6670100416009133E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.5735916309651026E-213          2.9629126839407222E+054         -2.7137554118244531E+038          0.0000000000000000E+000         -1.8832721095047685E+036         -2.6949226907294054E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          1.4613056857156589E+003          3.1623171838796367E+000          3.3401335607418687E+001          2.1375154318069517E+002          3.2062395183957250E+002          1.3843234248077193E+001          1.1503823576583835E+001         -4.6259741110107644E-001         -1.0000000000000000E+000          2.9999685342017173E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6771907170784646E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6771907170784646E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.5888135767768763E-213          2.9629048523071342E+054         -2.6513362872640328E+038          0.0000000000000000E+000         -1.8832236143036773E+036         -2.6325040511209962E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          3.7871566151366706E+003          3.1623820939641214E+000          3.3401677626122442E+001          2.1375155315555804E+002          3.2061844515447689E+002          1.3843325098637862E+001          1.1503989389076290E+001         -4.7277122555337081E-001         -1.0000000000000000E+000          2.9999168700416067E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6385642647974361E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6385642647974361E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.1405138264996535E-215          2.9628843033565843E+054         -2.8962589354414058E+038          0.0000000000000000E+000         -1.8830979857496686E+036         -2.8774279555839091E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          9.5746179998335629E+003          3.1625508992463756E+000          3.3402567150707242E+001          2.1375157798689045E+002          3.2060412774693611E+002          1.3843561430663774E+001          1.1504420591301473E+001         -4.8232049657385478E-001         -1.0000000000000000E+000          2.9997825584857114E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6396613341874406E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6396613341874406E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.8074532947206882E-228          2.9628308954423459E+054         -2.8891500712936187E+038          0.0000000000000000E+000         -1.8827671282726411E+036         -2.8703224000108921E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          2.3975673912602524E+004          3.1629595434622892E+000          3.3404720279569588E+001          2.1375163983103727E+002          3.2056946897037409E+002          1.3844133377706841E+001          1.1505464434291770E+001         -4.8186252208235780E-001         -1.0000000000000000E+000          2.9994574004089273E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6471270454915041E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6471270454915041E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.8248476358463607E-230          2.9627015632130481E+054         -2.8405879908227882E+038          0.0000000000000000E+000         -1.8819664560498413E+036         -2.8217683262622898E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          5.9810109361463787E+004          3.1639769124871431E+000          3.3410080122872806E+001          2.1375179408511710E+002          3.2048321022223394E+002          1.3845556981816303E+001          1.1508063072246854E+001         -4.7875975322472880E-001         -1.0000000000000000E+000          2.9986481432255562E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6455692276696841E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6455692276696841E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.4792339274650473E-227          2.9623796027721660E+054         -2.8516233144539512E+038          0.0000000000000000E+000         -1.8799790811320940E+036         -2.8328235236426303E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.4170946057363614E+005          3.1663211140326006E+000          3.3422426960328366E+001          2.1375214830950168E+002          3.2028461511655757E+002          1.3848835631673930E+001          1.1514050053980091E+001         -4.7265590596127810E-001         -1.0000000000000000E+000          2.9967849928020613E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6410552460771726E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6410552460771726E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.0888829106506285E-219          2.9616379748295084E+054         -2.8833033998451080E+038          0.0000000000000000E+000         -1.8751737032994219E+036         -2.8645516628121140E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          2.1863623295866145E+005          3.1685520579983981E+000          3.3434173427248091E+001          2.1375247997207757E+002          3.2009583136774529E+002          1.3851954079463935E+001          1.1519746790528474E+001         -4.6765261139537329E-001         -1.0000000000000000E+000          2.9950139657753617E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6357364393101843E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6357364393101843E+000         -9.8999999999999986E+001          1.0000000000000000E+000          7.6823047639647952E-213          2.9609325793393826E+054         -2.9206038652483706E+038          0.0000000000000000E+000         -1.8702278274396520E+036         -2.9019015869739741E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
