                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"          3.0000000000000004E+001          2.0000000000000000E+001          1.0000000000000000E+001                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20230326" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.5096045125668331E+002          1.0000014112032082E+001          7.1960598253290527E+001          1.4562722686946452E+002          2.1844058334066267E+002          2.9824238482836947E+001          2.4784043611789020E+001         -7.5297754566083197E-001         -1.0000000000000000E+000          2.9999964709410506E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6414842765765476E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6414842765765476E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3489658987018897E+054         -4.1963347257600634E+038          0.0000000000000000E+000         -1.2830722601986738E+035         -4.1950516534998651E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          5.2659836132771352E+002          1.0000047115591398E+001          7.1960716988221321E+001          1.4562722692045105E+002          2.1843998245159969E+002          2.9824270174895091E+001          2.4784101031259151E+001         -7.5072465314543124E-001         -1.0000000000000000E+000          2.9999882174632450E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6670074423583783E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6670074423583783E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3489611112832027E+054         -3.9569123163378350E+038          0.0000000000000000E+000         -1.2830582794916664E+035         -3.9556292580583432E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          1.4613056857156589E+003          1.0000125824230942E+001          7.1961000151446100E+001          1.4562722704750036E+002          2.1843854941921026E+002          2.9824345754243485E+001          2.4784237968177280E+001         -7.5056239225280719E-001         -1.0000000000000000E+000          2.9999685340154212E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6771881421835868E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6771881421835868E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3489496936991816E+054         -3.8652935417142748E+038          0.0000000000000000E+000         -1.2830251060863236E+035         -3.8640105166081888E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          3.7871566151366706E+003          1.0000332423583794E+001          7.1961743414593343E+001          1.4562722736506967E+002          2.1843478802258517E+002          2.9824544140333710E+001          2.4784597407262776E+001         -7.5528407426781430E-001         -1.0000000000000000E+000          2.9999168695974117E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6385626588138731E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6385626588138731E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3489197252758512E+054         -4.2247854574740925E+038          0.0000000000000000E+000         -1.2829391829828167E+035         -4.2235025182911096E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          9.5746179998335629E+003          1.0000869555198692E+001          7.1963675773250841E+001          1.4562722816448817E+002          2.1842500948187958E+002          2.9825059905958870E+001          2.4785531893804571E+001         -7.5971539433554003E-001         -1.0000000000000000E+000          2.9997825576294730E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6396598760565428E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6396598760565428E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3488418142620259E+054         -4.2143546177524615E+038          0.0000000000000000E+000         -1.2827129436224116E+035         -4.2130719048088394E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          2.3975673912602524E+004          1.0002170067002043E+001          7.1968354190920593E+001          1.4562723020351871E+002          2.1840133654937304E+002          2.9826308555783957E+001          2.4787794440928675E+001         -7.5950298623721224E-001         -1.0000000000000000E+000          2.9994573987866168E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6471261439320743E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6471261439320743E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3486531773261808E+054         -4.1430818298497145E+038          0.0000000000000000E+000         -1.2821653917943197E+035         -4.1417996644579201E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          5.9810109361463787E+004          1.0005407829378228E+001          7.1980000208742851E+001          1.4562723559885049E+002          2.1834241959817294E+002          2.9829416468443011E+001          2.4793426998564339E+001         -7.5806349139621820E-001         -1.0000000000000000E+000          2.9986481402369815E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6455685338314989E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6455685338314989E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3481835797904980E+054         -4.1593077074071101E+038          0.0000000000000000E+000         -1.2808062943278856E+035         -4.1580269011127824E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.4170946044198424E+005          1.0012867801576418E+001          7.2006825709886868E+001          1.4562724946288344E+002          2.1820677744524426E+002          2.9836573340026604E+001          2.4806403102444673E+001         -7.5523094103549415E-001         -1.0000000000000000E+000          2.9967849870138416E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6410545359401771E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6410545359401771E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3471018060170832E+054         -4.2058812026589878E+038          0.0000000000000000E+000         -1.2775197670717403E+035         -4.2046036828919161E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          2.1863622828239598E+005          1.0019966737817134E+001          7.2032343763889699E+001          1.4562726228238060E+002          2.1807784139340978E+002          2.9843379243968421E+001          2.4818749098340486E+001         -7.5290934166573453E-001         -1.0000000000000000E+000          2.9950139551554972E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6357351369698998E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6357351369698998E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3460727822932922E+054         -4.2607124972220123E+038          0.0000000000000000E+000         -1.2741367220855006E+035         -4.2594383604999265E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              50          2.9286422337976535E+005          1.0026907524789078E+001          7.2057284640915455E+001          1.4562727460331527E+002          2.1795191063325856E+002          2.9850029164227102E+001          2.4830818066164934E+001         -7.5086229487069911E-001         -1.0000000000000000E+000          2.9932842076040167E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6304578116644164E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6304578116644164E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3450670477833460E+054         -4.3157708353614040E+038          0.0000000000000000E+000         -1.2709052156462749E+035         -4.3144999301457579E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              55          3.6659013891513326E+005          1.0033894705804553E+001          7.2082383544172430E+001          1.4562728686313960E+002          2.1782527042489457E+002          2.9856719167444741E+001          2.4842965726978598E+001         -7.4895150132177069E-001         -1.0000000000000000E+000          2.9915447182588334E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6250057815239796E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6250057815239796E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3440549504371061E+054         -4.3733174547214447E+038          0.0000000000000000E+000         -1.2676640242664291E+035         -4.3720497906971780E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              60          4.3982699156969733E+005          1.0040931943133319E+001          7.2107653457555401E+001          1.4562729906645390E+002          2.1769785690435603E+002          2.9863452673755567E+001          2.4855198409162711E+001         -7.4713646148187796E-001         -1.0000000000000000E+000          2.9897946099379944E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6194236679599916E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6194236679599916E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3430359668082262E+054         -4.4329788610363542E+038          0.0000000000000000E+000         -1.2644098036199452E+035         -4.4317144512327344E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              65          5.1253967882543837E+005          1.0048017652787571E+001          7.2133088517060344E+001          1.4562731120787257E+002          2.1756970133518081E+002          2.9870228078908717E+001          2.4867513319502738E+001         -7.4539156400034967E-001         -1.0000000000000000E+000          2.9880343121162984E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6137468947869991E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6137468947869991E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3420103335343071E+054         -4.4944531871121619E+038          0.0000000000000000E+000         -1.2611434514757986E+035         -4.4931920436606864E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              70          5.8470287882732961E+005          1.0055150614371737E+001          7.2158684170027669E+001          1.4562732328358496E+002          2.1744082830207623E+002          2.9877044129354442E+001          2.4879908298188845E+001         -7.4369774705953495E-001         -1.0000000000000000E+000          2.9862641625108559E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6080036837521723E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6080036837521723E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3409782343088705E+054         -4.5574964237158352E+038          0.0000000000000000E+000         -1.2578657246417295E+035         -4.5562385579911933E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              75          6.5629898950442031E+005          1.0062329917860735E+001          7.2184436982112828E+001          1.4562733529103713E+002          2.1731125670495436E+002          2.9883899870372879E+001          2.4892381725850573E+001         -7.4204304064401572E-001         -1.0000000000000000E+000          2.9844844207395056E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6022117030718954E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6022117030718954E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3399398076806880E+054         -4.6219620986925716E+038          0.0000000000000000E+000         -1.2545772248855556E+035         -4.6207075214676864E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              80          7.2731524528451439E+005          1.0069555032896673E+001          7.2210344883931469E+001          1.4562734722859241E+002          2.1718099854018752E+002          2.9890794711314946E+001          2.4904932643483153E+001         -7.4041139154658187E-001         -1.0000000000000000E+000          2.9826952515900288E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5963636789607722E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5963636789607722E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3388951371400017E+054         -4.6879636597093065E+038          0.0000000000000000E+000         -1.2512783835022179E+035         -4.6867123813258039E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              85          7.9772974087310024E+005          1.0076824152153691E+001          7.2236401231565324E+001          1.4562735909252223E+002          2.1705008875562316E+002          2.9897726845166588E+001          2.4917557874848157E+001         -7.3880262098919636E-001         -1.0000000000000000E+000          2.9808971351011532E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5904942820643910E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5904942820643910E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3378444906325628E+054         -4.7551603163890068E+038          0.0000000000000000E+000         -1.2479701539602772E+035         -4.7539123462350466E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              90          8.6754877504914079E+005          1.0084137986847626E+001          7.2262608412271490E+001          1.4562737088459883E+002          2.1691851687971649E+002          2.9904696868287363E+001          2.4930258618873331E+001         -7.3720757627208000E-001         -1.0000000000000000E+000          2.9790899274232139E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5846111080965795E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5846111080965795E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3367877718514659E+054         -4.8234923450615503E+038          0.0000000000000000E+000         -1.2446524124987712E+035         -4.8222476926490517E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              95          9.3676949895834259E+005          1.0091496148200216E+001          7.2288964869576844E+001          1.4562738260461489E+002          2.1678629226009784E+002          2.9911704327659599E+001          2.4943034163806431E+001         -7.3562115495921709E-001         -1.0000000000000000E+000          2.9772737569373572E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5787235646558431E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5787235646558431E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3357250435220956E+054         -4.8928747774155358E+038          0.0000000000000000E+000         -1.2413254742612362E+035         -4.8916334519412749E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             100          1.0053820561369476E+006          1.0098897337453696E+001          7.2315465790678203E+001          1.4562739425079710E+002          2.1665344054633010E+002          2.9918747905256016E+001          2.4955882218669647E+001         -7.3404141572116044E-001         -1.0000000000000000E+000          2.9754489759421656E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5728377775705118E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5728377775705118E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3346564996778151E+054         -4.9632540015338301E+038          0.0000000000000000E+000         -1.2379899294426962E+035         -4.9620160116043878E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             105          1.0733893917393454E+006          1.0106341523821106E+001          7.2342110906425631E+001          1.4562740582395890E+002          2.1651996456802485E+002          2.9925827491473122E+001          2.4968802694465385E+001         -7.3246279175133333E-001         -1.0000000000000000E+000          2.9736156232812956E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5669565492118060E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5669565492118060E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3335821511062269E+054         -5.0346117779772507E+038          0.0000000000000000E+000         -1.2346462400170478E+035         -5.0333771317372335E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             110          1.1408044963153629E+006          1.0113829719029603E+001          7.2368903676514890E+001          1.4562741732697216E+002          2.1638584849602020E+002          2.9932943966785363E+001          2.4981797311078857E+001         -7.3088331612182211E-001         -1.0000000000000000E+000          2.9717734815028219E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5610849644873523E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5610849644873523E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.3325018582147620E+054         -5.1069018921707996E+038          0.0000000000000000E+000         -1.2312941144305483E+035         -5.1056705980563692E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
