                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"          3.0000000000000004E+001          2.0000000000000000E+001          1.9952623149688793E+000                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20230324" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.5096045125668331E+002          1.9952650696284302E+000          2.4571297471338511E+001          2.4921599774004559E+002          3.7382355686299826E+002          1.0183631784706783E+001          8.4626326477114446E+000         -2.7655035669333761E-001         -1.0000000000000000E+000          2.9999964709563258E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6414869716880833E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6414869716880833E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.5668800580013953E-094          2.5412808540474667E+054         -2.5064821290015859E+038          0.0000000000000000E+000         -5.5154946976379419E+036         -2.4513271820252065E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          5.2659836132771352E+002          1.9952715027551864E+000          2.4571336766564944E+001          2.4921600415192052E+002          3.7382253803773574E+002          1.0183642089165895E+001          8.4626518242178115E+000         -2.6995297414739206E-001         -1.0000000000000000E+000          2.9999882175292068E+001          2.0000000000000000E+001         -9.8670236385421560E+001         -6.6670100416009133E+000         -9.8695812646645237E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6670100416009133E+000         -9.8999999999999986E+001          1.0000000000000000E+000          9.3583093013809469E-093          2.5412779920849451E+054         -2.3665784457858594E+038          0.0000000000000000E+000         -5.5154354161669533E+036         -2.3114240916241897E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          1.4613056857156589E+003          1.9952868291027139E+000          2.4571430350177941E+001          2.4921602010674624E+002          3.7382010926961055E+002          1.0183666609795004E+001          8.4626975129097080E+000         -2.6947825290200844E-001         -1.0000000000000000E+000          2.9999685342017173E+001          2.0000000000000000E+001         -9.8101831156026819E+001         -6.6771907170784646E+000         -9.8127407417250510E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6771907170784646E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.5463639195078604E-092          2.5412711598834962E+054         -2.3130407448262605E+038          0.0000000000000000E+000         -5.5152948473758986E+036         -2.2578877963525017E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          3.7871566151366706E+003          1.9953271103300085E+000          2.4571676418065302E+001          2.4921605980817449E+002          3.7381373105192034E+002          1.0183731149114124E+001          8.4628175850715301E+000         -2.8330793309915664E-001         -1.0000000000000000E+000          2.9999168700416067E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6385642647974361E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6385642647974361E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.2841397138423383E-095          2.5412532488884177E+054         -2.5231070862940912E+038          0.0000000000000000E+000         -5.5149305495522517E+036         -2.4679577807985688E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          9.5746179998335629E+003          1.9954319415417727E+000          2.4572317016891052E+001          2.4921615860229579E+002          3.7379714293398780E+002          1.0183899296790239E+001          8.4631300519404391E+000         -2.9628840602006884E-001         -1.0000000000000000E+000          2.9997825584857114E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6396613341874406E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6396613341874406E+000         -9.8999999999999986E+001          1.0000000000000000E+000          7.4718531531853934E-104          2.5412067289736287E+054         -2.5170025068762169E+038          0.0000000000000000E+000         -5.5139705990642539E+036         -2.4618628008855744E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          2.3975673912602524E+004          1.9956856043642051E+000          2.4573866684567307E+001          2.4921640444876641E+002          3.7375699431357833E+002          1.0184305844800200E+001          8.4638861450139800E+000         -2.9566487283540549E-001         -1.0000000000000000E+000          2.9994574004089273E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6471270454915041E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6471270454915041E+000         -9.8999999999999986E+001          1.0000000000000000E+000          5.0240152150826745E-105          2.5410940297750581E+054         -2.4753332621128218E+038          0.0000000000000000E+000         -5.5116481244298824E+036         -2.4202167808685229E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          5.9810109361463787E+004          1.9963171367071886E+000          2.4577724391460325E+001          2.4921701631358445E+002          3.7365707161447159E+002          1.0185317793128354E+001          8.4657684575736614E+000         -2.9144463780875346E-001         -1.0000000000000000E+000          2.9986481432255562E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6455692276696841E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6455692276696841E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.1560487368513056E-103          2.5408134814395955E+054         -2.4847540931266733E+038          0.0000000000000000E+000         -5.5058834570514846E+036         -2.4296952585561583E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.4170946057363614E+005          1.9977725099256942E+000          2.4586612701786187E+001          2.4921841502557385E+002          3.7342700303927774E+002          1.0187649103125398E+001          8.4701057060342091E+000         -2.8314161532754484E-001         -1.0000000000000000E+000          2.9967849928020613E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6410552460771726E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6410552460771726E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.7111009893669227E-098          2.5401673450569345E+054         -2.5118189473947180E+038          0.0000000000000000E+000         -5.4919479859312931E+036         -2.4568994675354053E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          2.1863623295866145E+005          1.9991578830787828E+000          2.4595071468006612E+001          2.4921972539320697E+002          3.7320827904967769E+002          1.0189867600504419E+001          8.4742335928508652E+000         -2.7633489753009144E-001         -1.0000000000000000E+000          2.9950139657753617E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6357364393101843E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6357364393101843E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.0768553084279447E-093          2.5395529220864976E+054         -2.5437007046886692E+038          0.0000000000000000E+000         -5.4776096986485308E+036         -2.4889246077021839E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
