                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"          3.0000000000000004E+001          2.0000000000000000E+001          7.9432823472428158E+000                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20230326" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.5096045125668331E+002          7.9432935539886316E+000          6.1720309967284415E+001          1.5724466255104852E+002          2.3586671636373100E+002          2.5580127019229391E+001          2.1257172551263025E+001         -7.1199296300253523E-001         -1.0000000000000000E+000          2.9999964709410506E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6414842765765476E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6414842765765476E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0276587663013289E+054         -3.8873116593164054E+038          0.0000000000000000E+000         -2.1957578764840610E+035         -3.8851159014399214E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          5.2659836132771352E+002          7.9433197625815595E+000          6.1720411769144789E+001          1.5724466265272875E+002          2.3586606760858450E+002          2.5580154186207583E+001          2.1257221787100629E+001         -7.0936628300153548E-001         -1.0000000000000000E+000          2.9999882174632450E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6670074423583783E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6670074423583783E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0276543313889410E+054         -3.6655780701566051E+038          0.0000000000000000E+000         -2.1957339547024112E+035         -3.6633823362019025E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          1.4613056857156589E+003          7.9433822654937147E+000          6.1720654546003061E+001          1.5724466290593247E+002          2.3586452042982967E+002          2.5580218972557237E+001          2.1257339205965202E+001         -7.0917710026076686E-001         -1.0000000000000000E+000          2.9999685340154212E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6771881421835868E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6771881421835868E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0276437543788589E+054         -3.5807281789188662E+038          0.0000000000000000E+000         -2.1956771935649561E+035         -3.5785325017253011E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          3.7871566151366706E+003          7.9435463294426407E+000          6.1721291813131060E+001          1.5724466353751535E+002          2.3586045940018062E+002          2.5580389033568650E+001          2.1257647417341712E+001         -7.1468217628494768E-001         -1.0000000000000000E+000          2.9999168695974117E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6385626588138731E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6385626588138731E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0276159926666469E+054         -3.9136603009710404E+038          0.0000000000000000E+000         -2.1955301744376265E+035         -3.9114647707966028E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          9.5746179998335629E+003          7.9439728793901558E+000          6.1722948625357226E+001          1.5724466511894795E+002          2.3584990185205385E+002          2.5580831169938193E+001          2.1258448728408315E+001         -7.1984871363976333E-001         -1.0000000000000000E+000          2.9997825576294730E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6396598760565428E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6396598760565428E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0275438194213744E+054         -3.9039999125395641E+038          0.0000000000000000E+000         -2.1951430631008235E+035         -3.9018047694764630E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          2.3975673912602524E+004          7.9450056417875530E+000          6.1726959882204909E+001          1.5724466910732710E+002          2.3582434308686280E+002          2.5581901550409636E+001          2.1260388822627519E+001         -7.1960105760321535E-001         -1.0000000000000000E+000          2.9994573987866168E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6471261439320743E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6471261439320743E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0273690734628146E+054         -3.8379923831511353E+038          0.0000000000000000E+000         -2.1942061675641343E+035         -3.8357981769835715E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          5.9810109361463787E+004          7.9475768140893424E+000          6.1736945135059365E+001          1.5724467937568176E+002          2.3576073268602431E+002          2.5584565748576100E+001          2.1265218642421559E+001         -7.1792271383519946E-001         -1.0000000000000000E+000          2.9986481402369815E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6455685338314989E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6455685338314989E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0269340566262234E+054         -3.8530183145029250E+038          0.0000000000000000E+000         -2.1918806666585319E+035         -3.8508264338362662E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.4170946044198424E+005          7.9535009417365172E+000          6.1759945293035699E+001          1.5724470448180227E+002          2.3561428483924658E+002          2.5590700868218924E+001          2.1276345449478931E+001         -7.1462016547450435E-001         -1.0000000000000000E+000          2.9967849870138416E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6410545359401771E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6410545359401771E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0259319462084888E+054         -3.8961480914467645E+038          0.0000000000000000E+000         -2.1862572333948263E+035         -3.8939618342133696E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          2.1863622828239598E+005          7.9591383831495852E+000          6.1781824555188535E+001          1.5724472782152665E+002          2.3547507710005007E+002          2.5596535170761868E+001          2.1286931985706023E+001         -7.1191334393045402E-001         -1.0000000000000000E+000          2.9950139551554972E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6357351369698998E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6357351369698998E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0249787050647087E+054         -3.9469254732907198E+038          0.0000000000000000E+000         -2.1804686826507213E+035         -3.9447450046080693E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              50          2.9286422337976535E+005          7.9646502540587658E+000          6.1803209048693134E+001          1.5724475026832818E+002          2.3533911385341207E+002          2.5602235800858754E+001          2.1297281009696412E+001         -7.0952662799204436E-001         -1.0000000000000000E+000          2.9932842076040167E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6304578116644164E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6304578116644164E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0240470416824503E+054         -3.9979132537673317E+038          0.0000000000000000E+000         -2.1749393954481302E+035         -3.9957383143718835E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              55          3.6659013891513326E+005          7.9701989877072617E+000          6.1824729140731769E+001          1.5724477256631275E+002          2.3520238442228217E+002          2.5607970835578698E+001          2.1307697548343715E+001         -7.0729877152036635E-001         -1.0000000000000000E+000          2.9915447182588334E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6250057815239796E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6250057815239796E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0231094877876632E+054         -4.0512054661977362E+038          0.0000000000000000E+000         -2.1693935209043977E+035         -4.0490360726768321E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              60          4.3982699156969733E+005          7.9757874928697099E+000          6.1846395966135638E+001          1.5724479472224712E+002          2.3506481985069041E+002          2.5613743207774807E+001          2.1318187028992469E+001         -7.0518255554455012E-001         -1.0000000000000000E+000          2.9897946099379944E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6194236679599916E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6194236679599916E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0221655585605572E+054         -4.1064562074764209E+038          0.0000000000000000E+000         -2.1638253367497150E+035         -4.1042923821396709E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              65          5.1253967882543837E+005          7.9814145119709359E+000          6.1868204498618304E+001          1.5724481672621775E+002          2.3492645389018870E+002          2.5619551542829292E+001          2.1328747057035194E+001         -7.0314811945830391E-001         -1.0000000000000000E+000          2.9880343121162984E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6137468947869991E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6137468947869991E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0212154732599968E+054         -4.1633859134153943E+038          0.0000000000000000E+000         -2.1582363789930495E+035         -4.1612276770364009E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              70          5.8470287882732961E+005          7.9870790760623960E+000          6.1890150835665978E+001          1.5724483857124227E+002          2.3478731308255277E+002          2.5625394766519978E+001          2.1339375780802222E+001         -7.0117323883884264E-001         -1.0000000000000000E+000          2.9862641625108559E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6080036837521723E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6080036837521723E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0202594020807315E+054         -4.2217686030785727E+038          0.0000000000000000E+000         -2.1526279425255698E+035         -4.2196159751360474E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              75          6.5629898950442031E+005          7.9927804625859107E+000          6.1912232033181901E+001          1.5724486025266322E+002          2.3464741783271708E+002          2.5631272060615665E+001          2.1350071811896097E+001         -6.9924395769240189E-001         -1.0000000000000000E+000          2.9844844207395056E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6022117030718954E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6022117030718954E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0192974733832705E+054         -4.2814686263097052E+038          0.0000000000000000E+000         -2.1470010570186501E+035         -4.2793216252526863E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              80          7.2731524528451439E+005          7.9985182504721282E+000          6.1934446317314560E+001          1.5724488176742091E+002          2.3450678109226095E+002          2.5637182918949851E+001          2.1360834328148727E+001         -6.9734155935901576E-001         -1.0000000000000000E+000          2.9826952515900288E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5963636789607722E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5963636789607722E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0183297645217953E+054         -4.3425910493185648E+038          0.0000000000000000E+000         -2.1413564604764038E+035         -4.3404496928580884E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              85          7.9772974087310024E+005          8.0042910044896445E+000          6.1956787991520905E+001          1.5724490310910639E+002          2.3436544059359684E+002          2.5643125792442657E+001          2.1371660605980132E+001         -6.9546583542323359E-001         -1.0000000000000000E+000          2.9808971351011532E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5904942820643910E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5904942820643910E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0173565237058784E+054         -4.4048202606350513E+038          0.0000000000000000E+000         -2.1356957844224538E+035         -4.4026845648506287E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              90          8.6754877504914079E+005          8.0100992894295633E+000          6.1979259102549577E+001          1.5724492428068299E+002          2.3422338503150434E+002          2.5649101192256897E+001          2.1382551673436744E+001         -6.9360611461744259E-001         -1.0000000000000000E+000          2.9790899274232139E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5846111080965795E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5846111080965795E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0163776617163007E+054         -4.4681009488962781E+038          0.0000000000000000E+000         -2.1300188171910089E+035         -4.4659709300790868E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              95          9.3676949895834259E+005          8.0159427964973293E+000          6.2001858315504542E+001          1.5724494528186986E+002          2.3408062449938080E+002          2.5655108729870939E+001          2.1393506920085578E+001         -6.9175644794128244E-001         -1.0000000000000000E+000          2.9772737569373572E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5787235646558431E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5787235646558431E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0153932366448056E+054         -4.5323544236047335E+038          0.0000000000000000E+000         -2.1243260981476878E+035         -4.5302300975065859E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             100          1.0053820561369476E+006          8.0218204942061337E+000          6.2024581503213824E+001          1.5724496610985955E+002          2.3393718669182107E+002          2.5661147275122275E+001          2.1404524381228686E+001         -6.8991457198051265E-001         -1.0000000000000000E+000          2.9754489759421656E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5728377775705118E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5728377775705118E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0144034282111173E+054         -4.5975310342299736E+038          0.0000000000000000E+000         -2.1186186373356412E+035         -4.5954124155926380E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             105          1.0733893917393454E+006          8.0277323580158413E+000          6.2047428434353002E+001          1.5724498676618694E+002          2.3379307466529704E+002          2.5667216733802061E+001          2.1415603980374211E+001         -6.8807399631078126E-001         -1.0000000000000000E+000          2.9736156232812956E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5669565492118060E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5669565492118060E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0134082463881567E+054         -4.6636138892478818E+038          0.0000000000000000E+000         -2.1128972253535532E+035         -4.6615009920225284E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             110          1.1408044963153629E+006          8.0336791912985532E+000          6.2070402074859750E+001          1.5724500725581026E+002          2.3364827133076787E+002          2.5673317860493654E+001          2.1426747192171771E+001         -6.8623242765796155E-001         -1.0000000000000000E+000          2.9717734815028219E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5610849644873523E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5610849644873523E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0124075618484252E+054         -4.7305601882057046E+038          0.0000000000000000E+000         -2.1071613634802615E+035         -4.7284530268422241E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             115          1.2076251396989648E+006          8.0396604279143240E+000          6.2093500097921634E+001          1.5724502757836970E+002          2.3350279298571661E+002          2.5679450003720216E+001          2.1437952924574056E+001         -6.8438843790744330E-001         -1.0000000000000000E+000          2.9699227578988552E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5552243625599642E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5552243625599642E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0114014758414411E+054         -4.7983646821070767E+038          0.0000000000000000E+000         -2.1014113355453288E+035         -4.7962632707715311E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             120          1.2738485319925512E+006          8.0456753785842636E+000          6.2116719704136258E+001          1.5724504773324614E+002          2.3335665886245980E+002          2.5685612387228321E+001          2.1449219855521047E+001         -6.8253687317715039E-001         -1.0000000000000000E+000          2.9680636970943727E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5493806335861926E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5493806335861926E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0103901101921763E+054         -4.8669702947329228E+038          0.0000000000000000E+000         -2.0956482980361927E+035         -4.8648746464348870E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             125          1.3394768150351511E+006          8.0517237266517938E+000          6.2140059535113991E+001          1.5724506772146981E+002          2.3320987908577575E+002          2.5691804617786797E+001          2.1460547361548567E+001         -6.8067544744701602E-001         -1.0000000000000000E+000          2.9661964278442532E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5435549803986497E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5435549803986497E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0093735239362944E+054         -4.9363697175739546E+038          0.0000000000000000E+000         -2.0898728119374071E+035         -4.9342798447620173E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             130          1.4045247071665344E+006          8.0578062908458161E+000          6.2163522612516175E+001          1.5724508754844194E+002          2.3306243624362190E+002          2.5698027463876009E+001          2.1471936945335020E+001         -6.7880304992659390E-001         -1.0000000000000000E+000          2.9643207285801292E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5377483669576995E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5377483669576995E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0083515852954435E+054         -5.0065583165040718E+038          0.0000000000000000E+000         -2.0840843782826594E+035         -5.0044742321257892E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             135          1.4689938264719220E+006          8.0639226692432935E+000          6.2187107246937622E+001          1.5724510721495523E+002          2.3291434255971927E+002          2.5704280443959384E+001          2.1483387823304003E+001         -6.7691872563519573E-001         -1.0000000000000000E+000          2.9624367547579546E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5319645886536657E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5319645886536657E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0073243677201293E+054         -5.0774969883079974E+038          0.0000000000000000E+000         -2.0782836959349324E+035         -5.0754187046120624E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             140          1.5328819950423504E+006          8.0700720414118656E+000          6.2210810137985121E+001          1.5724512672040333E+002          2.3276562033532426E+002          2.5710562650044427E+001          2.1494898428995707E+001         -6.7501950945399058E-001         -1.0000000000000000E+000          2.9605447900360495E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5262051286578533E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5262051286578533E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0062920148300753E+054         -5.1491712255863515E+038          0.0000000000000000E+000         -2.0724717365578332E+035         -5.1470987538497934E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             145          1.5961964331464425E+006          8.0762544260529712E+000          6.2234631222096709E+001          1.5724514606743475E+002          2.3261627152542971E+002          2.5716874032549843E+001          2.1506468767252326E+001         -6.7310409937805338E-001         -1.0000000000000000E+000          2.9586448592272852E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5204734375220710E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5204734375220710E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0052545292331108E+054         -5.2215423379803442E+038          0.0000000000000000E+000         -2.0666484974111690E+035         -5.2194756894829327E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             150          1.6589432209275924E+006          8.0824697107241477E+000          6.2258569930123969E+001          1.5724516525826544E+002          2.3246630125482460E+002          2.5723214407869850E+001          2.1518098597426857E+001         -6.7117038210096669E-001         -1.0000000000000000E+000          2.9567370274693413E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5147722331231677E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5147722331231677E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0042119355582694E+054         -5.2945780761514307E+038          0.0000000000000000E+000         -2.0608145415806400E+035         -5.2925172616098497E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             155          1.7211234558191048E+006          8.0887172723604337E+000          6.2282623727599827E+001          1.5724518429331323E+002          2.3231572694079642E+002          2.5729583072211206E+001          2.1529786723724744E+001         -6.6921865769324840E-001         -1.0000000000000000E+000          2.9548215162818888E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5091010947682681E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5091010947682681E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0031643440427391E+054         -5.3682826674476103E+038          0.0000000000000000E+000         -2.0549708508471062E+035         -5.3662276965967630E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             160          1.7827485006987709E+006          8.0949975090548367E+000          6.2306794012504440E+001          1.5724520317664107E+002          2.3216454136606873E+002          2.5735980363133976E+001          2.1541533861006126E+001         -6.6724565906515931E-001         -1.0000000000000000E+000          2.9528982337892646E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.5034599267754576E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.5034599267754576E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0021116936257355E+054         -5.4426570754453865E+038          0.0000000000000000E+000         -2.0491168353214864E+035         -5.4406079586100653E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             165          1.8438197587606458E+006          8.1013097907103742E+000          6.2331078225289460E+001          1.5724522190872108E+002          2.3201276207218586E+002          2.5742405570668812E+001          2.1553338800798763E+001         -6.6525072926614226E-001         -1.0000000000000000E+000          2.9509674030905234E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.4978508632001510E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.4978508632001510E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          4.0010540956323460E+054         -5.5176731855631333E+038          0.0000000000000000E+000         -2.0432538401635432E+035         -5.5156299317229701E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             170          1.9043498153387972E+006          8.1076546166926136E+000          6.2355478152286054E+001          1.5724524049400674E+002          2.3186037942243138E+002          2.5748859134810978E+001          2.1565202447102990E+001         -6.6323250280923984E-001         -1.0000000000000000E+000          2.9490289015300096E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.4922755858030072E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.4922755858030072E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          3.9999914720832400E+054         -5.5933078307900749E+038          0.0000000000000000E+000         -2.0373810955993237E+035         -5.5912704496944755E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
