                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"          3.0000000000000004E+001          2.0000000000000000E+001          3.9810717055349722E+000                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20230325" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.5096045125668331E+002          3.9810773057190434E+000          3.8942882769929895E+001          1.9795930182749652E+002          2.9693860343773383E+002          1.6139968970973705E+001          1.3412369107053731E+001         -5.4353414213732232E-001         -1.0000000000000000E+000          2.9999964709563258E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6414869716880833E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6414869716880833E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.3794716097328243E-289          3.1992830735026644E+054         -3.0970429596774233E+038          0.0000000000000000E+000         -1.1004858235116940E+036         -3.0860381014423065E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          5.2659836132771352E+002          3.9810904000691827E+000          3.8942946734914401E+001          1.9795930263476760E+002          2.9693778772730059E+002          1.6139986001309509E+001          1.3412400080531421E+001         -5.3937149518346528E-001         -1.0000000000000000E+000          2.9999882175292068E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6670100416009133E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6670100416009133E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.2197665256071035E-289          3.1992795397703861E+054         -2.9209153357059807E+038          0.0000000000000000E+000         -1.1004738563213401E+036         -2.9099105971427675E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          1.4613056857156589E+003          3.9811216235652287E+000          3.8943099250818200E+001          1.9795930464372631E+002          2.9693584249181538E+002          1.6140026602872073E+001          1.3412473937338717E+001         -5.3907201600726551E-001         -1.0000000000000000E+000          2.9999685342017173E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6771907170784646E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6771907170784646E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.1631750232130555E-289          3.1992711108883510E+054         -2.8535169751762077E+038          0.0000000000000000E+000         -1.1004454633463530E+036         -2.8425125205427442E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          3.7871566151366706E+003          3.9812035961713828E+000          3.8943499682499919E+001          1.9795930964439665E+002          2.9693073629200785E+002          1.6140133217797629E+001          1.3412667834701908E+001         -5.4779807405969982E-001         -1.0000000000000000E+000          2.9999168700416067E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6385642647974361E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6385642647974361E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.1162644869692487E-290          3.1992489911202312E+054         -3.1179790467451571E+038          0.0000000000000000E+000         -1.1003719159909370E+036         -3.1069753275852478E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          9.5746179998335629E+003          3.9814167455452623E+000          3.8944540940086419E+001          1.9795932209881417E+002          2.9691746086083890E+002          1.6140410479847557E+001          1.3413172008260661E+001         -5.5598849136933193E-001         -1.0000000000000000E+000          2.9997825584857114E+001          2.0000000000000000E+001          1.0000000000000000E-099         -6.6396613341874406E+000          1.0000000000000000E-099         -9.8999999999999986E+001          1.0000000000000000E-099         -6.6396613341874406E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.0254132249922402E-306          3.1991914929522116E+054         -3.1103048448958343E+038          0.0000000000000000E+000         -1.1001782405171915E+036         -3.0993030624906623E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          2.3975673912602524E+004          3.9819327808110176E+000          3.8947061623647336E+001          1.9795935314878923E+002          2.9688532339115000E+002          1.6141081597899511E+001          1.3414392594243809E+001         -5.5559580634212657E-001         -1.0000000000000000E+000          2.9994574004089273E+001          2.0000000000000000E+001          1.0000000000000000E-099         -6.6471270454915041E+000          1.0000000000000000E-099         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6471270454915041E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.0388981753762856E-309          3.1990522670115109E+054         -3.0578730074293286E+038          0.0000000000000000E+000         -1.0997095249140313E+036         -3.0468759121801883E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          5.9810109361463787E+004          3.9832175096725364E+000          3.8953336407882340E+001          1.9795943079714783E+002          2.9680533979692768E+002          1.6142752034227072E+001          1.3417431224580191E+001         -5.5293486992544538E-001         -1.0000000000000000E+000          2.9986481432255562E+001          2.0000000000000000E+001          1.0000000000000000E-099         -6.6455692276696841E+000          1.0000000000000000E-099         -9.8999999999999986E+001          1.0000000000000000E-099         -6.6455692276696841E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.1050345860822040E-305          3.1987056757228775E+054         -3.0697993428457082E+038          0.0000000000000000E+000         -1.0985461096112792E+036         -3.0588138817495954E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.4170946057363614E+005          3.9861776771118951E+000          3.8967790353377779E+001          1.9795961007008657E+002          2.9662119431949162E+002          1.6146598934123478E+001          1.3424431719287275E+001         -5.4770031079162929E-001         -1.0000000000000000E+000          2.9967849928020613E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6410552460771726E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6410552460771726E+000         -9.8999999999999986E+001          1.0000000000000000E+000          4.4342090791964837E-296          3.1979072873030959E+054         -3.1040325931207758E+038          0.0000000000000000E+000         -1.0957329050040723E+036         -3.0930752640707350E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          2.1863623295866145E+005          3.9889947077187027E+000          3.8981540668454905E+001          1.9795977781787494E+002          2.9644614961316159E+002          1.6150257533991535E+001          1.3431092561101474E+001         -5.4340965983027667E-001         -1.0000000000000000E+000          2.9950139657753617E+001          2.0000000000000000E+001         -9.8999999999999986E+001         -6.6357364393101843E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -6.6357364393101843E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.1443407654865138E-287          3.1971478693322955E+054         -3.1443354863802516E+038          0.0000000000000000E+000         -1.0928372739059616E+036         -3.1334071136411920E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
